url,listing_id,category,subcategory,brand,title,price,original_price,has_discount,condition,color,size,description_text,description_length,description_word_count,photo_count,like_count,comment_count,shipping_info,shipping_buyer_pays,seller_username,seller_listing_count,is_sold,scraped_at,cohort_id,category_scraped,brand_clean,size_extracted,size_final,condition_clean,condition_ordinal,desc_is_placeholder,has_flaw_mention,desc_has_urgency,brand_tier,brand_tier_name,price_to_cat_median,discount_pct,sale_score,proxy_sold
https://dolap.com/urun/penti-bej-korse-yeni-etiketli-efnanindolabiii-445924254,445924254,kazak,,Penti - XL / 42,Penti Bej Korse Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Bej,,Penti Bej Korse Yeni & Etiketli Online Satın Al,47,9,5,0,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:52:59.520433,20250712,kazak,Penti,XL / 42,XL / 42,Yeni & Etiketli,3,True,False,False,1,Economy,1.0,0.0,1,0
https://dolap.com/urun/mango-kahverengi-kazak-yeni-etiketli-efnanindolabiii-445725941,445725941,kazak,,Mango - S / 36 Beden,Mango Kahverengi Kazak Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Kahverengi,PAYLA,Mango Kahverengi Kazak Yeni & Etiketli Online Satın Al,54,9,9,10,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:09.134725,20250712,kazak,Mango,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,2,Mid-Range,1.0,0.0,2,1
https://dolap.com/urun/pull-bear-mavi-jeans-yeni-etiketli-efnanindolabiii-445832981,445832981,kazak,,Pull & Bear - M / 38 Beden,Pull & Bear Mavi Jeans Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Mavi,PAYLA,Pull & Bear Mavi Jeans Yeni & Etiketli Online Satın Al,54,11,3,4,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:17.029924,20250712,kazak,Pull & Bear,M / 38 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,4,Luxury,1.0,0.0,1,0
https://dolap.com/urun/zara-siyah-bluz-yeni-etiketli-efnanindolabiii-445898835,445898835,kazak,,Zara - S / 36 Beden,Zara Siyah Bluz Yeni & Etiketli Online Satın Al,50.0,121.0,True,Yeni ve Etiketli,Siyah,PAYLA,Zara Siyah Bluz Yeni & Etiketli Online Satın Al,47,9,2,0,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:20.572951,20250712,kazak,Zara,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,2,Mid-Range,0.201,58.7,1,0
https://dolap.com/urun/koton-sari-bluz-yeni-etiketli-efnanindolabiii-445827500,445827500,kazak,,Koton - S / 36 Beden,Koton Sarı Bluz Yeni & Etiketli Online Satın Al,180.0,,False,Yeni ve Etiketli,Sarı,PAYLA,Koton Sarı Bluz Yeni & Etiketli Online Satın Al,47,9,8,0,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:26.069282,20250712,kazak,Koton,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,0,Budget,0.723,0.0,1,0
https://dolap.com/urun/koton-bej-t-shirt-yeni-etiketli-efnanindolabiii-445824583,445824583,kazak,,Koton - L / 40 Beden,Koton Bej T-Shirt Yeni & Etiketli Online Satın Al,150.0,,False,Yeni ve Etiketli,Bej,PAYLA,Koton Bej T-Shirt Yeni & Etiketli Online Satın Al,49,9,9,1,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:32.212995,20250712,kazak,Koton,L / 40 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,0,Budget,0.602,0.0,1,0
https://dolap.com/urun/koton-mavi-t-shirt-yeni-etiketli-efnanindolabiii-445834497,445834497,kazak,,Koton - L / 40 Beden,Koton Mavi T-Shirt Yeni & Etiketli Online Satın Al,150.0,,False,Yeni ve Etiketli,Mavi,PAYLA,Koton Mavi T-Shirt Yeni & Etiketli Online Satın Al,50,9,4,0,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:37.017200,20250712,kazak,Koton,L / 40 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,0,Budget,0.602,0.0,1,0
https://dolap.com/urun/koton-siyah-bluz-yeni-etiketli-efnanindolabiii-445834608,445834608,kazak,,Koton - M / 38 Beden,Koton Siyah Bluz Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Siyah,PAYLA,Koton Siyah Bluz Yeni & Etiketli Online Satın Al,48,9,8,7,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:41.616431,20250712,kazak,Koton,M / 38 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,0,Budget,1.0,0.0,1,0
https://dolap.com/urun/zara-siyah-jeans-yeni-etiketli-efnanindolabiii-445834088,445834088,kazak,,Zara - S / 36 Beden,Zara Siyah Jeans Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Siyah,PAYLA,Zara Siyah Jeans Yeni & Etiketli Online Satın Al,48,9,4,1,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:53:49.691683,20250712,kazak,Zara,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,2,Mid-Range,1.0,0.0,1,0
https://dolap.com/urun/colin-s-cizgili-kazak-yeni-etiketli-efnanindolabiii-445833793,445833793,kazak,,Colin's - S / 36 Beden,Colin's Çizgili Kazak Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Çizgili,PAYLA,Colin's Çizgili Kazak Yeni & Etiketli Online Satın Al,53,9,4,5,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:54:03.722062,20250712,kazak,Colin's,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,1,Economy,1.0,0.0,1,0
https://dolap.com/urun/h-m-cicek-desenli-t-shirt-yeni-etiketli-efnanindolabiii-445833828,445833828,kazak,,H&M - S / 36 Beden,H&M Çiçek Desenli T-Shirt Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Çiçek Desenli,PAYLA,H&M Çiçek Desenli T-Shirt Yeni & Etiketli Online Satın Al,57,10,4,1,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08T14:54:11.343708,20250712,kazak,H&M,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False,1,Economy,1.0,0.0,1,0
