price,description_length,description_word_count,photo_count,like_count,comment_count,seller_rating_count,hour,price_log,price_bucket,price_pctile_cat,like_pctile_cat,photo_pctile_cat,engagement_pctile,photo_vs_cat_mean,cat_competition_log,n_cheaper_in_cat,price_pctile_brand,price_vs_brand_median,price_vs_seller_avg,seller_listing_count,like_vs_seller_avg,condition_score,is_new_item,buyer_pays_shipping,has_free_shipping,size_numeric,size_type,has_size,has_color,color_family_enc,brand_tier,is_known_brand,brand_enc,category_freq,category_enc,subcategory_freq,subcategory_enc,desc_has_measurement,desc_has_defect,desc_has_quality,desc_has_price_talk,title_has_new,title_length,title_word_count,engagement_score,like_per_photo,comment_per_photo,price_per_photo,has_likes,has_comments,seller_exp_log,is_experienced_seller,is_super_seller,cheap_and_new,premium_cheap,engagement_x_new,listing_quality_score,value_score,desc_depth_per_photo,sold_within_7_days
150.0,136.0,24.0,4.0,2.0,2.0,17.0,7.0,5.017279836814924,1.0,0.27677651905252315,0.33007209062821835,0.2520597322348095,0.49279093717816685,0.7219196669206892,7.57198844937744,0.2590113285272915,0.47317073170731705,0.0,-0.2684767913474538,3.784189633918261,-0.2228915662650603,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,9.0,2.0,1.0,15.0,0.3232894955884801,76.0,0.7146662227401365,7.0,1.0,0.0,1.0,0.0,1.0,58.0,10.0,10.0,0.4,0.4,30.0,1.0,1.0,2.8903717578961645,0.0,0.0,1.0,0.0,10.0,6.0,1.8280685456408052,27.2,0
135.0,71.0,11.0,5.0,1.0,0.0,17.0,7.0,4.912654885736052,1.0,0.23377960865087538,0.1972193614830072,0.430226570545829,0.1840885684860968,0.9023995836508616,7.57198844937744,0.22914521112255407,0.3878048780487805,-0.09933774834437085,-0.3411446597566471,3.784189633918261,-0.48192771084337355,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0,0.3232894955884801,76.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,53.0,9.0,2.0,0.16666666666666666,0.0,22.5,1.0,0.0,2.8903717578961645,0.0,0.0,1.0,0.0,2.0,4.0,0.5073862855140305,11.833333333333334,0
135.0,71.0,11.0,5.0,0.0,0.0,17.0,7.0,4.912654885736052,1.0,0.23377960865087538,0.05895983522142122,0.430226570545829,0.05535530381050464,0.9023995836508616,7.57198844937744,0.22914521112255407,0.3878048780487805,-0.09933774834437085,-0.3411446597566471,3.784189633918261,-0.7409638554216867,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0,0.3232894955884801,76.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,50.0,9.0,0.0,0.0,0.0,22.5,0.0,0.0,2.8903717578961645,0.0,0.0,1.0,0.0,0.0,4.0,0.16912876183801018,11.833333333333334,0
135.0,69.0,11.0,3.0,0.0,0.0,17.0,7.0,4.912654885736052,1.0,0.23377960865087538,0.05895983522142122,0.11457260556127703,0.05535530381050464,0.5414397501905169,7.57198844937744,0.22914521112255407,0.30625,-0.24861878453038674,-0.3411446597566471,3.784189633918261,-0.7409638554216867,3.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,1.0,8.0,0.3232894955884801,76.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,50.0,9.0,0.0,0.0,0.0,33.75,0.0,0.0,2.8903717578961645,0.0,0.0,1.0,0.0,0.0,5.0,0.16912876183801018,17.25,0
180.0,44.0,7.0,5.0,0.0,0.0,17.0,7.0,5.198497031265826,1.0,0.36431513903192586,0.05895983522142122,0.430226570545829,0.05535530381050464,0.9023995836508616,7.57198844937744,0.3532440782698249,0.6818181818181818,0.028409090909090908,-0.12314105452906711,3.784189633918261,-0.7409638554216867,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,9.0,3.0,1.0,6.0,0.3232894955884801,76.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,58.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,5.0,0.16132943114369533,7.333333333333333,0
150.0,188.0,34.0,4.0,2.0,0.0,17.0,7.0,5.017279836814924,1.0,0.27677651905252315,0.33007209062821835,0.2520597322348095,0.305870236869207,0.7219196669206892,7.57198844937744,0.2590113285272915,0.12096774193548387,-0.41015625,-0.2684767913474538,3.784189633918261,-0.2228915662650603,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,9.0,4.0,1.0,18.0,0.3232894955884801,76.0,0.7146662227401365,7.0,1.0,0.0,1.0,0.0,1.0,55.0,10.0,4.0,0.4,0.0,30.0,1.0,0.0,2.8903717578961645,0.0,0.0,1.0,1.0,4.0,6.0,0.8309402480185478,37.6,0
249.0,35.0,6.0,6.0,0.0,0.0,17.0,7.0,5.521460917862246,2.0,0.34798534798534797,0.06593406593406594,0.49633699633699635,0.0641025641025641,0.9853817000541419,5.6131281063880705,0.315018315018315,0.6435185185185185,0.17096018735362997,0.21113114015322224,3.784189633918261,-0.7409638554216867,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,7.0,3.0,1.0,14.0,0.0454469785250541,17.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,51.0,10.0,0.0,0.0,0.0,35.57142857142857,0.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,6.0,0.15333987469908858,5.0,0
249.0,102.0,20.0,3.0,5.0,0.0,17.0,7.0,5.521460917862246,2.0,0.5289156626506024,0.541566265060241,0.09939759036144578,0.48012048192771084,0.5342201244368161,6.7226297948554485,0.5048192771084338,0.18125,-0.6875,0.21113114015322224,3.784189633918261,0.5542168674698794,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,38.0,0.13817213251206925,3.0,0.7146662227401365,7.0,1.0,0.0,1.0,0.0,1.0,48.0,9.0,10.0,1.25,0.0,62.25,1.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,10.0,6.0,1.6867386216899745,25.5,0
249.0,34.0,6.0,5.0,7.0,0.0,17.0,7.0,5.521460917862246,2.0,0.5,0.6842105263157895,0.5526315789473685,0.5526315789473685,1.0117145899893505,2.995732273553991,0.47368421052631576,0.5675675675675675,0.03734439834024896,0.21113114015322224,3.784189633918261,1.072289156626506,3.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,27.0,0.003162976527384718,78.0,0.7146662227401365,7.0,0.0,0.0,1.0,0.0,1.0,47.0,9.0,14.0,1.1666666666666667,0.0,41.5,1.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,14.0,5.0,2.3000981204863287,5.666666666666667,0
249.0,105.0,19.0,9.0,14.0,0.0,17.0,7.0,5.521460917862246,2.0,0.506951596292482,0.8326467559217302,0.979145211122554,0.7479402677651905,1.6243192505715507,7.57198844937744,0.4649845520082389,0.4314516129032258,-0.0234375,0.21113114015322224,3.784189633918261,2.8855421686746987,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,8.0,4.0,1.0,18.0,0.3232894955884801,76.0,0.7146662227401365,7.0,1.0,0.0,1.0,0.0,1.0,54.0,9.0,28.0,1.4,0.0,24.9,1.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,28.0,7.0,4.446856366273569,10.5,0
249.0,100.0,20.0,3.0,10.0,2.0,17.0,7.0,5.521460917862246,2.0,0.5289156626506024,0.7228915662650602,0.09939759036144578,0.6939759036144578,0.5342201244368161,6.7226297948554485,0.5048192771084338,0.06188118811881188,-0.7727272727272727,0.21113114015322224,3.784189633918261,1.8493975903614457,3.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,7.0,3.0,1.0,30.0,0.13817213251206925,3.0,0.7146662227401365,7.0,1.0,0.0,1.0,0.0,1.0,54.0,11.0,26.0,2.5,0.5,62.25,1.0,1.0,2.8903717578961645,0.0,0.0,0.0,0.0,26.0,6.0,4.140176616875392,25.0,0
